Rep_gene	Gene_list_chromosome	most_common_function	function_proportion	count_result	Gene_cnt_chromosome	Genome_cnt
fig|1387555.3.peg.664	fig|1387555.3.peg.664	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.665	fig|1387555.3.peg.665	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.31|Csac_0024	fig|1121259.3.peg.1538,fig|1214564.3.peg.1990,fig|1387555.3.peg.350,fig|1387557.3.peg.222,fig|31899.10.peg.341|SAMN05216182_0215,fig|351627.8.peg.31|Csac_0024,fig|608506.3.peg.2502|COB47_2303,fig|632292.3.peg.2725|Calhy_2592,fig|632335.8.peg.2889|Calkr_2605,fig|632348.3.peg.2721|Calkro_2556,fig|632516.3.peg.395|CallaDRAFT_0395,fig|632518.3.peg.2397|Calow_2233	hypothetical protein	1.0	Counter({'hypothetical protein': 12})	12	12.0
fig|31899.10.peg.1387	fig|31899.10.peg.1387	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.668	fig|1387555.3.peg.668	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632348.3.peg.2541	fig|632348.3.peg.2541	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.1041|Calkr_0933	fig|1121259.3.peg.949,fig|1214564.3.peg.1221,fig|1387555.3.peg.1957,fig|1387557.3.peg.1195,fig|31899.10.peg.1398|SAMN05216182_1203,fig|351627.8.peg.1658|Csac_1500,fig|608506.3.peg.1676|COB47_1563,fig|632292.3.peg.1872|Calhy_1778,fig|632335.8.peg.1041|Calkr_0933,fig|632348.3.peg.1839|Calkro_1745,fig|632516.3.peg.2216|CallaDRAFT_2132,fig|632518.3.peg.802|Calow_0736	Iron-containing alcohol dehydrogenase	1.0	Counter({'Iron-containing alcohol dehydrogenase': 12})	12	12.0
fig|632348.3.peg.2545	fig|632292.3.peg.2589,fig|632348.3.peg.2545	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632348.3.peg.2544	fig|632292.3.peg.2588|Calhy_2470,fig|632348.3.peg.2544	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632516.3.peg.482|CallaDRAFT_0463	fig|632335.8.peg.73,fig|632516.3.peg.482|CallaDRAFT_0463	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632518.3.peg.1686|Calow_1589	fig|1121259.3.peg.709,fig|632518.3.peg.1686|Calow_1589	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|31899.10.peg.2074|SAMN05216182_1861	fig|31899.10.peg.2074|SAMN05216182_1861	PilT protein domain protein	1.0	Counter({'PilT protein domain protein': 1})	1	1.0
fig|351627.8.peg.1526|Csac_1375	fig|1121259.3.peg.2282,fig|1214564.3.peg.951,fig|1387555.3.peg.2224,fig|1387557.3.peg.2431,fig|31899.10.peg.2582|SAMN05216182_2347,fig|351627.8.peg.1526|Csac_1375,fig|608506.3.peg.1932|COB47_1806,fig|632292.3.peg.782|Calhy_0720,fig|632335.8.peg.589|Calkr_0529,fig|632348.3.peg.664|Calkro_0622,fig|632516.3.peg.1068|CallaDRAFT_1011,fig|632518.3.peg.1829|Calow_1721	Arginyl-tRNA synthetase (EC 6.1.1.19)	1.0	Counter({'Arginyl-tRNA synthetase (EC 6.1.1.19)': 12})	12	12.0
fig|632516.3.peg.2495|CallaDRAFT_2401	fig|632516.3.peg.2495|CallaDRAFT_2401	Transmembrane transport protein MmpL family	1.0	Counter({'Transmembrane transport protein MmpL family': 1})	1	1.0
fig|632518.3.peg.2293|Calow_2138	fig|1121259.3.peg.1166,fig|1214564.3.peg.1475,fig|1387555.3.peg.57,fig|1387557.3.peg.2837,fig|31899.10.peg.2985|SAMN05216182_2727,fig|351627.8.peg.392|Csac_0337,fig|608506.3.peg.2333|COB47_2168,fig|632292.3.peg.483|Calhy_0441,fig|632335.8.peg.2226|Calkr_2057,fig|632348.3.peg.342|Calkro_0317,fig|632516.3.peg.2342|CallaDRAFT_2251,fig|632518.3.peg.2293|Calow_2138	Veg protein	1.0	Counter({'Veg protein': 12})	12	12.0
fig|351627.8.peg.725|Csac_0628	fig|1214564.3.peg.856,fig|351627.8.peg.725|Csac_0628	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632518.3.peg.1058|Calow_0981	fig|1121259.3.peg.1,fig|1214564.3.peg.49,fig|1387555.3.peg.1837,fig|1387557.3.peg.1402,fig|31899.10.peg.1654|SAMN05216182_1447,fig|351627.8.peg.1787|Csac_1621,fig|608506.3.peg.1474|COB47_1366,fig|632292.3.peg.1654|Calhy_1563,fig|632335.8.peg.1272|Calkr_1152,fig|632348.3.peg.1611|Calkro_1527,fig|632518.3.peg.1058|Calow_0981	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 11})	11	11.0
fig|351627.8.peg.2750|Csac_2551	fig|1121259.3.peg.2210,fig|1387555.3.peg.426,fig|1387557.3.peg.337,fig|351627.8.peg.2750|Csac_2551,fig|608506.3.peg.78|COB47_0074,fig|632292.3.peg.63|Calhy_0058,fig|632348.3.peg.74|Calkro_0070	Two-component system sensor histidine kinase	1.0	Counter({'Two-component system sensor histidine kinase': 7})	7	7.0
fig|632516.3.peg.2039|CallaDRAFT_1968	fig|632516.3.peg.2039|CallaDRAFT_1968	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	1.0	Counter({'Anthranilate synthase, amidotransferase component (EC 4.1.3.27)': 1})	1	1.0
fig|632292.3.peg.560|Calhy_0513	fig|1121259.3.peg.2252,fig|1214564.3.peg.105,fig|1387557.3.peg.297,fig|31899.10.peg.418|SAMN05216182_0289,fig|351627.8.peg.803|Csac_0698,fig|608506.3.peg.34|COB47_0033,fig|632292.3.peg.560|Calhy_0513,fig|632335.8.peg.2702|Calkr_2487,fig|632516.3.peg.1370|CallaDRAFT_1309	hypothetical protein	1.0	Counter({'hypothetical protein': 9})	9	9.0
fig|632516.3.peg.222|CallaDRAFT_0223	fig|632516.3.peg.222|CallaDRAFT_0223	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	1.0	Counter({'1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)': 1})	1	1.0
fig|632518.3.peg.2257|Calow_2109	fig|632518.3.peg.2257|Calow_2109	Maltodextrin glucosidase (EC 3.2.1.20)	1.0	Counter({'Maltodextrin glucosidase (EC 3.2.1.20)': 1})	1	1.0
fig|31899.10.peg.13	fig|31899.10.peg.13	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 1})	1	1.0
fig|31899.10.peg.12	fig|31899.10.peg.12	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 1})	1	1.0
fig|31899.10.peg.11	fig|31899.10.peg.11	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.16	fig|31899.10.peg.16	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.15	fig|31899.10.peg.15	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.14	fig|31899.10.peg.14	RNA polymerase sporulation specific sigma factor SigK	1.0	Counter({'RNA polymerase sporulation specific sigma factor SigK': 1})	1	1.0
fig|632348.3.peg.742|Calkro_0700	fig|632348.3.peg.742|Calkro_0700	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.7	fig|351627.8.peg.7	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.2069	fig|1121259.3.peg.2069	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.436|COB47_0388	fig|608506.3.peg.436|COB47_0388	Serine-protein kinase RsbW (EC 2.7.11.1)	1.0	Counter({'Serine-protein kinase RsbW (EC 2.7.11.1)': 1})	1	1.0
fig|351627.8.peg.1008|Csac_0889	fig|1214564.3.peg.1066,fig|351627.8.peg.1008|Csac_0889	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|608506.3.peg.1260|COB47_1160	fig|31899.10.peg.1886,fig|608506.3.peg.1260|COB47_1160	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|1121259.3.peg.2060	fig|1121259.3.peg.2060	Beta-glucanase precursor (EC 3.2.1.73)	1.0	Counter({'Beta-glucanase precursor (EC 3.2.1.73)': 1})	1	1.0
fig|1121259.3.peg.2061	fig|1121259.3.peg.2061,fig|1387555.3.peg.429,fig|1387557.3.peg.340,fig|351627.8.peg.2746|Csac_2547,fig|608506.3.peg.81|COB47_0077,fig|632292.3.peg.67|Calhy_0061,fig|632348.3.peg.77|Calkro_0073	FIG00469293: hypothetical protein	0.857142857143	Counter({'FIG00469293: hypothetical protein': 6, 'hypothetical protein': 1})	7	7.0
fig|351627.8.peg.585|Csac_0508	fig|1214564.3.peg.1181,fig|351627.8.peg.585|Csac_0508,fig|632292.3.peg.2640|Calhy_2513,fig|632348.3.peg.2598|Calkro_2462	ABC transporter-like sensor linked histidine kinase Cphy_3333	1.0	Counter({'ABC transporter-like sensor linked histidine kinase Cphy_3333': 4})	4	4.0
fig|351627.8.peg.771|Csac_0668	fig|1214564.3.peg.2041,fig|1387555.3.peg.705,fig|1387557.3.peg.1820,fig|31899.10.peg.2062|SAMN05216182_1854,fig|351627.8.peg.771|Csac_0668,fig|608506.3.peg.1080|COB47_0988,fig|632292.3.peg.1252|Calhy_1170,fig|632348.3.peg.1220|Calkro_1148,fig|632518.3.peg.1431|Calow_1344	hypothetical protein	1.0	Counter({'hypothetical protein': 9})	9	9.0
fig|1121259.3.peg.2320	fig|1121259.3.peg.2320	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1415|CallaDRAFT_1354	fig|1121259.3.peg.376,fig|1214564.3.peg.2261,fig|1387555.3.peg.780,fig|1387557.3.peg.577,fig|31899.10.peg.774|SAMN05216182_0616,fig|351627.8.peg.1327|Csac_1184,fig|608506.3.peg.370|COB47_0326,fig|632292.3.peg.2394|Calhy_2286,fig|632335.8.peg.361|Calkr_0315,fig|632348.3.peg.2387|Calkro_2268,fig|632516.3.peg.1415|CallaDRAFT_1354,fig|632518.3.peg.251|Calow_0229	Uncharacterized secreted protein associated with spyDAC	1.0	Counter({'Uncharacterized secreted protein associated with spyDAC': 12})	12	12.0
fig|351627.8.peg.2189|Csac_2011	fig|1121259.3.peg.291,fig|1214564.3.peg.503,fig|1387555.3.peg.1368,fig|1387557.3.peg.1711,fig|31899.10.peg.1956|SAMN05216182_1742,fig|351627.8.peg.2189|Csac_2011,fig|608506.3.peg.1188|COB47_1090,fig|632292.3.peg.1357|Calhy_1272,fig|632335.8.peg.1571|Calkr_1449,fig|632348.3.peg.1324|Calkro_1246,fig|632516.3.peg.71|CallaDRAFT_0069,fig|632518.3.peg.1329|Calow_1243	HesA/MoeB/ThiF family protein	1.0	Counter({'HesA/MoeB/ThiF family protein': 12})	12	12.0
fig|608506.3.peg.176|COB47_0156	fig|1121259.3.peg.1313,fig|1121259.3.peg.542,fig|1214564.3.peg.1264,fig|1214564.3.peg.1813,fig|1387557.3.peg.40,fig|31899.10.peg.561|SAMN05216182_0420,fig|351627.8.peg.2620|Csac_2428,fig|351627.8.peg.476|Csac_0408,fig|608506.3.peg.176|COB47_0156,fig|632292.3.peg.2579|Calhy_2461,fig|632292.3.peg.271|Calhy_0245,fig|632335.8.peg.182|Calkr_0143,fig|632348.3.peg.2536|Calkro_2408,fig|632348.3.peg.280|Calkro_0264,fig|632516.3.peg.2561|CallaDRAFT_2466,fig|632516.3.peg.533|CallaDRAFT_0512,fig|632518.3.peg.114|Calow_0101	Oligo-1,6-glucosidase (EC 3.2.1.10)	0.588235294118	Counter({'Oligo-1,6-glucosidase (EC 3.2.1.10)': 10, 'Alpha-amylase (EC 3.2.1.1)': 7})	17	11.0
fig|632516.3.peg.1264|CallaDRAFT_1209	fig|1121259.3.peg.67,fig|1214564.3.peg.1727,fig|1387557.3.peg.1471,fig|31899.10.peg.1716|SAMN05216182_1506,fig|351627.8.peg.1968|Csac_1794,fig|608506.3.peg.1433|COB47_1327,fig|632292.3.peg.1584|Calhy_1496,fig|632335.8.peg.1332|Calkr_1210,fig|632348.3.peg.1553|Calkro_1471,fig|632516.3.peg.1264|CallaDRAFT_1209,fig|632518.3.peg.1097|Calow_1020	FIGfam003972: membrane protein	1.0	Counter({'FIGfam003972: membrane protein': 11})	11	11.0
fig|632516.3.peg.2278|CallaDRAFT_2195	fig|632516.3.peg.2278|CallaDRAFT_2195	DNA translocase FtsK	1.0	Counter({'DNA translocase FtsK': 1})	1	1.0
fig|632518.3.peg.935|Calow_0864	fig|632518.3.peg.935|Calow_0864	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.703	fig|31899.10.peg.703	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|31899.10.peg.701	fig|1121259.3.peg.1737,fig|1387555.3.peg.1466,fig|31899.10.peg.701,fig|632335.8.peg.1970	Transposase, mutator type	0.5	Counter({'Transposase, mutator type': 2, 'hypothetical protein': 2})	4	4.0
fig|31899.10.peg.704	fig|31899.10.peg.704	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.1818|COB47_1695	fig|1121259.3.peg.350,fig|1214564.3.peg.2481,fig|1214564.3.peg.792,fig|1387555.3.peg.125,fig|1387557.3.peg.606,fig|31899.10.peg.803|SAMN05216182_0643,fig|351627.8.peg.1189|Csac_1056,fig|351627.8.peg.310|Csac_0269,fig|608506.3.peg.1818|COB47_1695,fig|608506.3.peg.390|COB47_0346,fig|632292.3.peg.2371|Calhy_2262,fig|632335.8.peg.378|Calkr_0332,fig|632348.3.peg.2364|Calkro_2247,fig|632516.3.peg.2410|CallaDRAFT_2314	hypothetical protein	0.785714285714	Counter({'hypothetical protein': 11, 'GtrA family protein': 3})	14	11.0
fig|632292.3.peg.1250|Calhy_1168	fig|632292.3.peg.1250|Calhy_1168	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.1760|SAMN05216182_1550	fig|1121259.3.peg.112,fig|1214564.3.peg.2327,fig|1387557.3.peg.1514,fig|31899.10.peg.1760|SAMN05216182_1550,fig|351627.8.peg.2015|Csac_1838,fig|608506.3.peg.1389|COB47_1284,fig|632292.3.peg.1540|Calhy_1453,fig|632335.8.peg.1378|Calkr_1256,fig|632348.3.peg.1510|Calkro_1428,fig|632516.3.peg.237|CallaDRAFT_0238,fig|632518.3.peg.1145|Calow_1064	Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog	1.0	Counter({'Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog': 11})	11	11.0
fig|632516.3.peg.1684|CallaDRAFT_1619	fig|632516.3.peg.1684|CallaDRAFT_1619	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2078|CallaDRAFT_2007	fig|632516.3.peg.2078|CallaDRAFT_2007	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.1068	fig|608506.3.peg.1068	Transposase, IS605 OrfB	1.0	Counter({'Transposase, IS605 OrfB': 1})	1	1.0
fig|351627.8.peg.2188|Csac_2010	fig|351627.8.peg.2188|Csac_2010	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.1063	fig|608506.3.peg.1063	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632516.3.peg.281|CallaDRAFT_0283	fig|632516.3.peg.281|CallaDRAFT_0283	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.1064	fig|608506.3.peg.1064	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632348.3.peg.2674	fig|632348.3.peg.2674	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.579	fig|632348.3.peg.579	beta-glucuronidase (EC 3.2.1.31)	1.0	Counter({'beta-glucuronidase (EC 3.2.1.31)': 1})	1	1.0
fig|632348.3.peg.576	fig|632348.3.peg.576	beta-glucuronidase (EC 3.2.1.31)	1.0	Counter({'beta-glucuronidase (EC 3.2.1.31)': 1})	1	1.0
fig|31899.10.peg.2065|SAMN05216182_1857	fig|1387555.3.peg.703,fig|1387557.3.peg.1823,fig|31899.10.peg.2065|SAMN05216182_1857,fig|351627.8.peg.768|Csac_0665,fig|608506.3.peg.1077|COB47_0985,fig|632348.3.peg.1218|Calkro_1146	Nitroreductase	1.0	Counter({'Nitroreductase': 6})	6	6.0
fig|632335.8.peg.1210|Calkr_1090	fig|632335.8.peg.1210|Calkr_1090	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})	1	1.0
fig|632518.3.peg.180	fig|632518.3.peg.180	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.1138	fig|1387557.3.peg.1138	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.1139	fig|1387557.3.peg.1139	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632518.3.peg.184	fig|608506.3.peg.249,fig|632348.3.peg.2471,fig|632518.3.peg.184	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|351627.8.peg.2734|Csac_2535	fig|351627.8.peg.2734|Csac_2535	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.717|Csac_0621	fig|1214564.3.peg.864,fig|351627.8.peg.717|Csac_0621	Uncharacterized bifurcating oxidoreductase CLOST_2294-CLOST_2296, alpha (oxidoreductase) subunit	1.0	Counter({'Uncharacterized bifurcating oxidoreductase CLOST_2294-CLOST_2296, alpha (oxidoreductase) subunit': 2})	2	2.0
fig|632518.3.peg.162|Calow_0148	fig|1121259.3.peg.479,fig|1214564.3.peg.1963,fig|1387555.3.peg.278,fig|1387557.3.peg.471,fig|31899.10.peg.609|SAMN05216182_0466,fig|351627.8.peg.134|Csac_0111,fig|608506.3.peg.231|COB47_0209,fig|632292.3.peg.2524|Calhy_2406,fig|632335.8.peg.235|Calkr_0188,fig|632348.3.peg.2492|Calkro_2367,fig|632516.3.peg.2258|CallaDRAFT_2174,fig|632518.3.peg.162|Calow_0148	hypothetical protein	1.0	Counter({'hypothetical protein': 12})	12	12.0
fig|351627.8.peg.12|Csac_0011	fig|1121259.3.peg.1382,fig|351627.8.peg.12|Csac_0011	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632518.3.peg.890|Calow_0822	fig|632518.3.peg.890|Calow_0822	RNA polymerase sigma factor RpoD	1.0	Counter({'RNA polymerase sigma factor RpoD': 1})	1	1.0
fig|1387557.3.peg.2119	fig|1121259.3.peg.703,fig|1214564.3.peg.739,fig|1387555.3.peg.1064,fig|1387557.3.peg.2119,fig|31899.10.peg.2351|SAMN05216182_2138,fig|351627.8.peg.2566|Csac_2381,fig|608506.3.peg.1768|COB47_1651,fig|632335.8.peg.937|Calkr_0834,fig|632348.3.peg.933|Calkro_0875,fig|632516.3.peg.970|CallaDRAFT_0916,fig|632518.3.peg.1679|Calow_1583	hypothetical protein	0.909090909091	Counter({'hypothetical protein': 10, 'S-layer domain protein': 1})	11	11.0
fig|632516.3.peg.2616|CallaDRAFT_2524	fig|31899.10.peg.389|SAMN05216182_0261,fig|632335.8.peg.50|Calkr_0027,fig|632516.3.peg.2616|CallaDRAFT_2524	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|632292.3.peg.2459|Calhy_2345	fig|632292.3.peg.2459|Calhy_2345	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.989	fig|1121259.3.peg.2414,fig|1214564.3.peg.1921,fig|1387555.3.peg.989,fig|1387557.3.peg.2224,fig|31899.10.peg.2457|SAMN05216182_2240,fig|351627.8.peg.1145|Csac_1014,fig|608506.3.peg.1870|COB47_1748,fig|632292.3.peg.899|Calhy_0837,fig|632335.8.peg.865|Calkr_0763,fig|632348.3.peg.799|Calkro_0754,fig|632516.3.peg.670|CallaDRAFT_0647,fig|632518.3.peg.1760|Calow_1661	Metallo-beta-lactamase family protein, RNA-specific	1.0	Counter({'Metallo-beta-lactamase family protein, RNA-specific': 12})	12	12.0
fig|632516.3.peg.23|CallaDRAFT_0023	fig|632516.3.peg.23|CallaDRAFT_0023	Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)	1.0	Counter({'Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8)': 1})	1	1.0
fig|351627.8.peg.479	fig|351627.8.peg.479	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.980	fig|1121259.3.peg.2405,fig|1214564.3.peg.1929,fig|1387555.3.peg.980,fig|1387557.3.peg.2234,fig|31899.10.peg.2465|SAMN05216182_2248,fig|351627.8.peg.1137|Csac_1006,fig|608506.3.peg.1878|COB47_1756,fig|632292.3.peg.891|Calhy_0829,fig|632335.8.peg.858|Calkr_0756,fig|632348.3.peg.791|Calkro_0746,fig|632516.3.peg.663|CallaDRAFT_0640,fig|632518.3.peg.1768|Calow_1669	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)	1.0	Counter({'UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)': 12})	12	12.0
fig|1387555.3.peg.982	fig|1387555.3.peg.982	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.986	fig|1121259.3.peg.2410,fig|1214564.3.peg.1924,fig|1387555.3.peg.986,fig|1387557.3.peg.2227,fig|31899.10.peg.2460|SAMN05216182_2243,fig|351627.8.peg.1142|Csac_1011,fig|608506.3.peg.1873|COB47_1751,fig|632292.3.peg.896|Calhy_0834,fig|632335.8.peg.862|Calkr_0760,fig|632348.3.peg.796|Calkro_0751,fig|632516.3.peg.667|CallaDRAFT_0644,fig|632518.3.peg.1763|Calow_1664	ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)	0.666666666667	Counter({'ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)': 8, 'Glutamine ABC transporter, permease protein GlnP': 4})	12	12.0
fig|632348.3.peg.1391|Calkro_1312	fig|632348.3.peg.1391|Calkro_1312	Peptidoglycan-binding LysM	1.0	Counter({'Peptidoglycan-binding LysM': 1})	1	1.0
fig|632518.3.peg.914|Calow_0844	fig|632518.3.peg.914|Calow_0844	N-acetylmuramoyl-L-alanine amidase	1.0	Counter({'N-acetylmuramoyl-L-alanine amidase': 1})	1	1.0
fig|1121259.3.peg.1678	fig|1121259.3.peg.1678	Diguanylate cyclase/phosphodiesterase domain 1 (GGDEF)	1.0	Counter({'Diguanylate cyclase/phosphodiesterase domain 1 (GGDEF)': 1})	1	1.0
fig|1214564.3.peg.318	fig|1214564.3.peg.318	alpha-L-rhamnosidase (EC 3.2.1.40)	1.0	Counter({'alpha-L-rhamnosidase (EC 3.2.1.40)': 1})	1	1.0
fig|1214564.3.peg.317	fig|1214564.3.peg.317	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1121259.3.peg.1677	fig|1121259.3.peg.1677	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.1610	fig|351627.8.peg.1610	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.477|Calhy_0437	fig|632292.3.peg.477|Calhy_0437	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.739|Calhy_0681	fig|632292.3.peg.739|Calhy_0681	Fucose ABC transporter, substrate-binding protein	1.0	Counter({'Fucose ABC transporter, substrate-binding protein': 1})	1	1.0
fig|632292.3.peg.193|Calhy_0174	fig|632292.3.peg.193|Calhy_0174	Efflux ABC transporter, permease protein	1.0	Counter({'Efflux ABC transporter, permease protein': 1})	1	1.0
fig|632516.3.peg.1543|CallaDRAFT_1484	fig|632516.3.peg.1543|CallaDRAFT_1484	Response regulator receiver protein	1.0	Counter({'Response regulator receiver protein': 1})	1	1.0
fig|31899.10.peg.1180	fig|31899.10.peg.1180	S-layer domain protein	1.0	Counter({'S-layer domain protein': 1})	1	1.0
fig|31899.10.peg.1183	fig|31899.10.peg.1183	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.2204	fig|632292.3.peg.2204	transposase, IS111A/IS1328/IS1533	1.0	Counter({'transposase, IS111A/IS1328/IS1533': 1})	1	1.0
fig|632292.3.peg.2205	fig|632292.3.peg.2205	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.2206	fig|632292.3.peg.2206	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.555	fig|632292.3.peg.555	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|31899.10.peg.2885|SAMN05216182_2632	fig|31899.10.peg.2885|SAMN05216182_2632	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.556	fig|608506.3.peg.1910,fig|632292.3.peg.556	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632516.3.peg.2528|CallaDRAFT_2434	fig|351627.8.peg.1643,fig|632516.3.peg.2528|CallaDRAFT_2434	Efflux ABC transporter, permease/ATP-binding protein	1.0	Counter({'Efflux ABC transporter, permease/ATP-binding protein': 2})	2	2.0
fig|632335.8.peg.711	fig|31899.10.peg.1331|SAMN05216182_1143,fig|632335.8.peg.711	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	1.0	Counter({'Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)': 2})	2	2.0
fig|1214564.3.peg.2383	fig|1214564.3.peg.2383	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.713	fig|632335.8.peg.713	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	1.0	Counter({'Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)': 1})	1	1.0
fig|632335.8.peg.714	fig|632335.8.peg.714	Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	1.0	Counter({'Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)': 1})	1	1.0
fig|1387555.3.peg.1406	fig|1121259.3.peg.253,fig|1214564.3.peg.230,fig|1387555.3.peg.1406,fig|1387557.3.peg.1672,fig|31899.10.peg.1917|SAMN05216182_1703,fig|351627.8.peg.2150|Csac_1971,fig|608506.3.peg.1226|COB47_1129,fig|632292.3.peg.1395|Calhy_1311,fig|632335.8.peg.1533|Calkr_1410,fig|632348.3.peg.1362|Calkro_1285,fig|632516.3.peg.110|CallaDRAFT_0109,fig|632518.3.peg.1288|Calow_1203	ATP synthase gamma chain (EC 3.6.3.14)	1.0	Counter({'ATP synthase gamma chain (EC 3.6.3.14)': 12})	12	12.0
