Rep_gene	most_common_function	function_proportion	count_result
fig|632516.3.peg.7|CallaDRAFT_0007	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.332	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1770	Transposase	1.0	Counter({'Transposase': 1})
fig|632516.3.peg.1035	hypothetical protein	1.0	Counter({'hypothetical protein': 8})
fig|632516.3.peg.1777	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1121259.3.peg.1582	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1585	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2760|Csac_2560	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.339	Response regulator receiver protein	1.0	Counter({'Response regulator receiver protein': 1})
fig|31899.10.peg.1440|SAMN05216182_1239	Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)	1.0	Counter({'Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23)': 4})
fig|608506.3.peg.1528	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.613|Calkro_0575	Putative large secreted protein SCO0341	1.0	Counter({'Putative large secreted protein SCO0341': 1})
fig|632516.3.peg.1848|CallaDRAFT_1781	(R)-citramalate synthase (EC 2.3.1.182)	1.0	Counter({'(R)-citramalate synthase (EC 2.3.1.182)': 12})
fig|632516.3.peg.711|CallaDRAFT_0688	DNA topoisomerase I (EC 5.99.1.2)	1.0	Counter({'DNA topoisomerase I (EC 5.99.1.2)': 1})
fig|632518.3.peg.2122|Calow_1988	hypothetical protein	0.6	Counter({'hypothetical protein': 15, 'Transposase': 10})
fig|1121259.3.peg.807	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	0.869565217391	Counter({'ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)': 20, 'Multiple sugar ABC transporter, permease protein MsmG': 3})
fig|1121259.3.peg.372	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1751	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.938	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.939	hypothetical protein	1.0	Counter({'hypothetical protein': 7})
fig|632516.3.peg.2036|CallaDRAFT_1966	Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	1.0	Counter({'Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)': 12})
fig|1387555.3.peg.930	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.931	Mobile element protein	1.0	Counter({'Mobile element protein': 4})
fig|1387555.3.peg.932	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.934	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.935	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2292|Csac_2113	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632335.8.peg.1268|Calkr_1148	Cysteine synthase (EC 2.5.1.47)	1.0	Counter({'Cysteine synthase (EC 2.5.1.47)': 3})
fig|608506.3.peg.1789	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.1073|CallaDRAFT_1015	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|608506.3.peg.1780	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|632348.3.peg.812|Calkro_0768	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.2666|Csac_2472	Urea ABC transporter, ATPase protein UrtD	1.0	Counter({'Urea ABC transporter, ATPase protein UrtD': 1})
fig|632518.3.peg.2106	transposase, IS605 OrfB family	1.0	Counter({'transposase, IS605 OrfB family': 1})
fig|632518.3.peg.2107	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.2108	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.2067|Calow_1941	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.119	Transposase	0.909090909091	Counter({'Transposase': 10, 'hypothetical protein': 1})
fig|31899.10.peg.118	Transposase	1.0	Counter({'Transposase': 1})
fig|31899.10.peg.117	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.111	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387557.3.peg.1765	Domain of unknown function / Efflux ABC transporter, permease protein	1.0	Counter({'Domain of unknown function / Efflux ABC transporter, permease protein': 1})
fig|1387557.3.peg.1766	Domain of unknown function / Efflux ABC transporter, permease protein	1.0	Counter({'Domain of unknown function / Efflux ABC transporter, permease protein': 1})
fig|31899.10.peg.2579|SAMN05216182_2344	Helix-turn-helix, AraC type:Response regulator receiver	1.0	Counter({'Helix-turn-helix, AraC type:Response regulator receiver': 1})
fig|31899.10.peg.741|SAMN05216182_0584	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2199|CallaDRAFT_2118	Transcriptional regulator, LacI family	1.0	Counter({'Transcriptional regulator, LacI family': 10})
fig|632335.8.peg.2820|Calkr_2558	DUF324 domain containing Cmr6-like protein	1.0	Counter({'DUF324 domain containing Cmr6-like protein': 2})
fig|1387557.3.peg.631	glycosyltransferase 28-like protein	1.0	Counter({'glycosyltransferase 28-like protein': 1})
fig|632518.3.peg.1534|Calow_1443	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2829	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2828	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2066|CallaDRAFT_1995	Transposase	1.0	Counter({'Transposase': 1})
fig|632335.8.peg.2827	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2826	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.633	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2312|Calkr_2137	Transcriptional regulator, Xre family	1.0	Counter({'Transcriptional regulator, Xre family': 2})
fig|632335.8.peg.2683|Calkr_2468	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|632516.3.peg.2619|CallaDRAFT_2527	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.2488|CallaDRAFT_2394	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.1290|CallaDRAFT_1235	hypothetical protein	1.0	Counter({'hypothetical protein': 8})
fig|632516.3.peg.784|CallaDRAFT_0757	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|632292.3.peg.1612	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.1613	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1705	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.1704	Quinolinate phosphoribosyltransferase	1.0	Counter({'Quinolinate phosphoribosyltransferase': 12})
fig|1387555.3.peg.1707	Quinolinate synthetase (EC 2.5.1.72)	1.0	Counter({'Quinolinate synthetase (EC 2.5.1.72)': 12})
fig|1387555.3.peg.1706	L-aspartate oxidase (EC 1.4.3.16)	1.0	Counter({'L-aspartate oxidase (EC 1.4.3.16)': 12})
fig|1387555.3.peg.1701	NUDIX hydrolase	0.75	Counter({'NUDIX hydrolase': 9, 'Nudix hydrolase family protein': 3})
fig|351627.8.peg.1155	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2895|Csac_2679	ATP-dependent DNA helicase	1.0	Counter({'ATP-dependent DNA helicase': 1})
fig|1387555.3.peg.1702	Molybdenum cofactor guanylyltransferase (EC 2.7.7.77)	1.0	Counter({'Molybdenum cofactor guanylyltransferase (EC 2.7.7.77)': 12})
fig|632516.3.peg.2634|CallaDRAFT_2546	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.651|CallaDRAFT_0629	ACT-domain-containing protein, predicted allosteric regulator of homoserine dehydrogenase	1.0	Counter({'ACT-domain-containing protein, predicted allosteric regulator of homoserine dehydrogenase': 11})
fig|31899.10.peg.1322|SAMN05216182_1134	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.1356	ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGs	1.0	Counter({'ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGs': 12})
fig|1387557.3.peg.2588	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1884|Calow_1771	Predicted rhamnogalacturonan lyase in rhamnose utilization cluster	1.0	Counter({'Predicted rhamnogalacturonan lyase in rhamnose utilization cluster': 2})
fig|351627.8.peg.1123|Csac_0994	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.2230	Glutamine ABC transporter, substrate-binding protein GlnH	1.0	Counter({'Glutamine ABC transporter, substrate-binding protein GlnH': 1})
fig|1387555.3.peg.1607	conserved membrane protein ML1361	1.0	Counter({'conserved membrane protein ML1361': 12})
fig|608506.3.peg.554|COB47_0495	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|632516.3.peg.2779	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632292.3.peg.1944	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2778	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632518.3.peg.911|Calow_0841	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.561	FIG01165543: hypothetical protein	1.0	Counter({'FIG01165543: hypothetical protein': 11})
fig|1387555.3.peg.1603	Spermidine synthase (EC 2.5.1.16)	1.0	Counter({'Spermidine synthase (EC 2.5.1.16)': 12})
fig|632516.3.peg.2147	hypothetical protein	1.0	Counter({'hypothetical protein': 10})
fig|632335.8.peg.2185|Calkr_2018	Transcriptional regulator	1.0	Counter({'Transcriptional regulator': 12})
fig|31899.10.peg.714|SAMN05216182_0557	hypothetical protein	1.0	Counter({'hypothetical protein': 10})
fig|632518.3.peg.2177|Calow_2034	Phage integrase	0.5	Counter({'Phage integrase': 4, 'Site-specific tyrosine recombinase XerD': 2, 'Site-specific tyrosine recombinase XerC': 1, 'hypothetical protein': 1})
fig|351627.8.peg.1057|Csac_0935	Diaminopimelate decarboxylase (EC 4.1.1.20)	1.0	Counter({'Diaminopimelate decarboxylase (EC 4.1.1.20)': 12})
fig|632335.8.peg.2640	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1901	Transposase	1.0	Counter({'Transposase': 1})
fig|632516.3.peg.2481|CallaDRAFT_2385	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.586|Csac_0509	ABC transporter-like sensor linked response regulator Cphy_3334	1.0	Counter({'ABC transporter-like sensor linked response regulator Cphy_3334': 4})
fig|632292.3.peg.364	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.365	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.361	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1121259.3.peg.1203	Dinitrogenase iron-molybdenum cofactor biosynthesis protein	0.75	Counter({'Dinitrogenase iron-molybdenum cofactor biosynthesis protein': 9, 'MTH1175-like domain family protein': 3})
fig|1121259.3.peg.1201	Iron-sulfur cluster carrier protein, CA_C2982 type	1.0	Counter({'Iron-sulfur cluster carrier protein, CA_C2982 type': 11})
fig|351627.8.peg.838|Csac_0731	redox proteins related to the succinate dehydrogenases and fumarate reductases	1.0	Counter({'redox proteins related to the succinate dehydrogenases and fumarate reductases': 2})
fig|351627.8.peg.2160|Csac_1982	Probable flavoprotein	1.0	Counter({'Probable flavoprotein': 12})
fig|31899.10.peg.2144|SAMN05216182_1924	FIG099352: hypothetical protein	0.5	Counter({'FIG099352: hypothetical protein': 1, 'hypothetical protein': 1})
fig|632516.3.peg.2172|CallaDRAFT_2091	Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	1.0	Counter({'Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)': 1})
fig|632516.3.peg.179|CallaDRAFT_0180	hypothetical protein	1.0	Counter({'hypothetical protein': 9})
fig|31899.10.peg.2289|SAMN05216182_2077	Transcriptional regulator in cluster with Zn-dependent hydrolase	1.0	Counter({'Transcriptional regulator in cluster with Zn-dependent hydrolase': 11})
fig|1387555.3.peg.733	Limit dextrin alpha-1,6-maltotetraose-hydrolase (EC 3.2.1.196) / Pullulanase (EC 3.2.1.41)	0.833333333333	Counter({'Limit dextrin alpha-1,6-maltotetraose-hydrolase (EC 3.2.1.196) / Pullulanase (EC 3.2.1.41)': 10, 'Pullulanase (EC 3.2.1.41)': 2})
fig|1387555.3.peg.731	Arginase (EC 3.5.3.1)	1.0	Counter({'Arginase (EC 3.5.3.1)': 11})
fig|1387555.3.peg.736	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.737	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	0.5	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 6, 'Predicted beta-xyloside ABC transporter, substrate-binding component': 6})
fig|1387555.3.peg.738	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)': 12})
fig|1387555.3.peg.115	hypothetical protein	1.0	Counter({'hypothetical protein': 9})
fig|632335.8.peg.30|Calkr_0011	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.708|Csac_0612	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632335.8.peg.541|Calkr_0482	c-di-GMP phosphodiesterase A	0.5	Counter({'c-di-GMP phosphodiesterase A': 3, 'Two-component system response regulator protein': 3})
fig|351627.8.peg.517|Csac_0446	Putative ion-channel protein	1.0	Counter({'Putative ion-channel protein': 10})
fig|31899.10.peg.523|SAMN05216182_0386	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.33|SAMN05216182_2876	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.100	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1102	Methylase homolog	1.0	Counter({'Methylase homolog': 1})
fig|1214564.3.peg.1103	Methylase homolog	1.0	Counter({'Methylase homolog': 1})
fig|1214564.3.peg.1107	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	1.0	Counter({'Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)': 1})
fig|1214564.3.peg.1104	Transposase	1.0	Counter({'Transposase': 1})
fig|632292.3.peg.2499	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1108	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	1.0	Counter({'Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)': 1})
fig|31899.10.peg.2715|SAMN05216182_2473	Flagellar motor switch protein FliN	1.0	Counter({'Flagellar motor switch protein FliN': 12})
fig|632516.3.peg.2082|CallaDRAFT_2011	Copper(I) chaperone CopZ	1.0	Counter({'Copper(I) chaperone CopZ': 11})
fig|632292.3.peg.1803|Calhy_1711	ABC transporter, ATP-binding protein	0.48	Counter({'ABC transporter, ATP-binding protein': 12, 'Efflux ABC transporter, ATP-binding protein': 11, 'hypothetical protein': 2})
fig|31899.10.peg.821|SAMN05216182_0667	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.665|CallaDRAFT_0642	S-layer domain protein	0.636363636364	Counter({'S-layer domain protein': 7, 'S-layer associated multidomain endoglucanase': 4})
fig|1387555.3.peg.2425	FIG01423360: glycoside hydrolase	1.0	Counter({'FIG01423360: glycoside hydrolase': 12})
fig|608506.3.peg.1309|COB47_1204	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.2426	Cell wall-binding protein	0.916666666667	Counter({'Cell wall-binding protein': 11, '3D domain protein': 1})
fig|1387555.3.peg.2421	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.2420	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	1.0	Counter({'Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)': 12})
fig|1387555.3.peg.2423	Two-component system sensor histidine kinase	1.0	Counter({'Two-component system sensor histidine kinase': 12})
fig|1387555.3.peg.2422	FIG00468569: hypothetical protein	1.0	Counter({'FIG00468569: hypothetical protein': 11})
fig|1121259.3.peg.2134	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.940	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2725|CallaDRAFT_2635	Transposase	1.0	Counter({'Transposase': 1})
fig|31899.10.peg.31|SAMN05216182_2874	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.2160|SAMN05216182_1940	hypothetical protein	0.833333333333	Counter({'hypothetical protein': 10, 'Flagellar biosynthesis protein FlgN': 2})
fig|1387557.3.peg.948	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|351627.8.peg.2574|Csac_2388	Transposase	1.0	Counter({'Transposase': 1})
fig|632292.3.peg.976|Calhy_0905	Type IV pilus biogenesis protein PilN	0.5	Counter({'Type IV pilus biogenesis protein PilN': 6, 'hypothetical protein': 3, 'Fimbrial assembly family protein': 3})
fig|351627.8.peg.657|Csac_0569	UPF0236 protein TTE2489	1.0	Counter({'UPF0236 protein TTE2489': 1})
fig|632516.3.peg.1729|CallaDRAFT_1662	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.948	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|632348.3.peg.736|Calkro_0694	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.1434	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.822|SAMN05216182_0668	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632518.3.peg.470|Calow_0421	Anti-sigma B factor RsbT	1.0	Counter({'Anti-sigma B factor RsbT': 1})
fig|632292.3.peg.823|Calhy_0762	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2423|SAMN05216182_2207	hypothetical protein	1.0	Counter({'hypothetical protein': 9})
fig|632516.3.peg.652|CallaDRAFT_0630	hypothetical protein	1.0	Counter({'hypothetical protein': 11})
fig|632516.3.peg.2271|CallaDRAFT_2188	Ribonuclease HII (EC 3.1.26.4)	1.0	Counter({'Ribonuclease HII (EC 3.1.26.4)': 12})
fig|632335.8.peg.2010|Calkr_1854	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632335.8.peg.246|Calkr_0198	hypothetical protein	1.0	Counter({'hypothetical protein': 11})
fig|1121259.3.peg.491	Phosphate transport system regulatory protein PhoU	1.0	Counter({'Phosphate transport system regulatory protein PhoU': 2})
fig|1121259.3.peg.496	Putative DNA-binding protein	1.0	Counter({'Putative DNA-binding protein': 5})
fig|632516.3.peg.1361|CallaDRAFT_1301	N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces	1.0	Counter({'N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces': 1})
fig|632518.3.peg.1106|Calow_1027	Lipopolysaccharide biosynthesis protein	1.0	Counter({'Lipopolysaccharide biosynthesis protein': 12})
fig|632292.3.peg.2488|Calhy_2371	1,4-alpha-glucan branching enzyme (EC 2.4.1.18)	1.0	Counter({'1,4-alpha-glucan branching enzyme (EC 2.4.1.18)': 1})
fig|632518.3.peg.671|Calow_0609	Protein of unknown function DUF86, Caur_2869 group	1.0	Counter({'Protein of unknown function DUF86, Caur_2869 group': 10})
fig|632335.8.peg.2158|Calkr_1992	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.395|Calkro_0366	Glycosyl transferase, group 1	1.0	Counter({'Glycosyl transferase, group 1': 1})
fig|632516.3.peg.2537|CallaDRAFT_2443	Efflux ABC transporter, ATP-binding protein	1.0	Counter({'Efflux ABC transporter, ATP-binding protein': 8})
fig|632335.8.peg.1827|Calkr_1693	Uncharacterized protein YvyF	1.0	Counter({'Uncharacterized protein YvyF': 12})
fig|632516.3.peg.965	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632516.3.peg.1348|CallaDRAFT_1288	Two-component response regulator yesN	1.0	Counter({'Two-component response regulator yesN': 1})
fig|632516.3.peg.2044|CallaDRAFT_1973	Tryptophan synthase beta chain (EC 4.2.1.20)	1.0	Counter({'Tryptophan synthase beta chain (EC 4.2.1.20)': 12})
fig|632292.3.peg.2191|Calhy_2091	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.2212	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.1501|SAMN05216182_1298	hypothetical protein	1.0	Counter({'hypothetical protein': 7})
fig|1387555.3.peg.2213	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.477|CallaDRAFT_0458	N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces	1.0	Counter({'N-terminal HKD family nuclease fused to DNA/RNA helicases of superfamily II,conserved in Streptomyces': 2})
fig|351627.8.peg.2275|Csac_2095	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.505|Csac_0435	Transposase	1.0	Counter({'Transposase': 1})
fig|632348.3.peg.246|Calkro_0232	Transcriptional regulator, HxlR family	1.0	Counter({'Transcriptional regulator, HxlR family': 3})
fig|1121259.3.peg.1447	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632292.3.peg.683|Calhy_0630	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1121259.3.peg.1449	Nucleotidyltransferase domain protein, SO_3165 group	1.0	Counter({'Nucleotidyltransferase domain protein, SO_3165 group': 2})
fig|632348.3.peg.1125	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.1127	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632292.3.peg.2433|Calhy_2323	tRNA (adenine(37)-N6)-methyltransferase	1.0	Counter({'tRNA (adenine(37)-N6)-methyltransferase': 10})
fig|632292.3.peg.2457|Calhy_2343	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2218	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.375|Csac_0322	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632335.8.peg.2311|Calkr_2136	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.1967|Calkro_1869	Small basic protein Sbp	1.0	Counter({'Small basic protein Sbp': 1})
fig|1387555.3.peg.897	Flagellar biosynthesis protein FlhA	1.0	Counter({'Flagellar biosynthesis protein FlhA': 11})
fig|1387555.3.peg.896	Flagellar biosynthesis protein FlhB	1.0	Counter({'Flagellar biosynthesis protein FlhB': 12})
fig|1387555.3.peg.895	Flagellar biosynthesis protein FliR	1.0	Counter({'Flagellar biosynthesis protein FliR': 12})
fig|1387555.3.peg.894	Flagellar biosynthesis protein FliQ	1.0	Counter({'Flagellar biosynthesis protein FliQ': 12})
fig|1387555.3.peg.892	Flagellar biosynthesis protein FliO	0.833333333333	Counter({'Flagellar biosynthesis protein FliO': 10, 'Regulator of sigma S factor FliZ': 2})
fig|1387555.3.peg.891	Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY	1.0	Counter({'Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY': 12})
fig|632518.3.peg.2318	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|31899.10.peg.579|SAMN05216182_0437	Xylan 1,4-beta-xylosidase (EC 3.2.1.37) / Arabinoxylan arabinofuranohydrolase (EC 3.2.1.55)	1.0	Counter({'Xylan 1,4-beta-xylosidase (EC 3.2.1.37) / Arabinoxylan arabinofuranohydrolase (EC 3.2.1.55)': 5})
fig|351627.8.peg.2984|Csac_2757	Allergen V5/Tpx-1 family protein	1.0	Counter({'Allergen V5/Tpx-1 family protein': 11})
fig|632518.3.peg.2320|Calow_2162	integral membrane sensor signal transduction histidine kinase	1.0	Counter({'integral membrane sensor signal transduction histidine kinase': 1})
fig|351627.8.peg.460|Csac_0393	ABC transporter, permease protein (cluster 2, ribose/xylose/arabinose/galactose)	1.0	Counter({'ABC transporter, permease protein (cluster 2, ribose/xylose/arabinose/galactose)': 1})
fig|632516.3.peg.1259|CallaDRAFT_1203	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.2135|CallaDRAFT_2059	RND efflux system, membrane fusion protein	1.0	Counter({'RND efflux system, membrane fusion protein': 1})
fig|632348.3.peg.753	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.358|Calhy_0326	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632348.3.peg.202	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|31899.10.peg.2527|SAMN05216182_2308	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632292.3.peg.2132	hypothetical protein	1.0	Counter({'hypothetical protein': 8})
fig|608506.3.peg.2305	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1253|CallaDRAFT_1197	Similar to benzoyl-CoA reductase subunit B	1.0	Counter({'Similar to benzoyl-CoA reductase subunit B': 1})
fig|632516.3.peg.968|CallaDRAFT_0914	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1510	hypothetical protein	1.0	Counter({'hypothetical protein': 7})
fig|1387555.3.peg.1511	Related to ABC transporter permease component	0.857142857143	Counter({'Related to ABC transporter permease component': 6, 'hypothetical protein': 1})
fig|1387555.3.peg.89	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.88	Mobile element protein	1.0	Counter({'Mobile element protein': 3})
fig|1387555.3.peg.1514	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1515	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.83	DNA polymerase IV (EC 2.7.7.7)	1.0	Counter({'DNA polymerase IV (EC 2.7.7.7)': 12})
fig|1387555.3.peg.82	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.81	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.80	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2685	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.86	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.85	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.335|CallaDRAFT_0332	Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	1.0	Counter({'Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)': 1})
fig|632335.8.peg.539|Calkr_0480	Two-component system sensor histidine kinase/response regulator hybrid	1.0	Counter({'Two-component system sensor histidine kinase/response regulator hybrid': 6})
fig|632335.8.peg.1472	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.1471	Mobile element protein	1.0	Counter({'Mobile element protein': 3})
